batch,scenario,doctrine,score,assignments
simulated_campaign_batch_11.json,053,scout,330.1587182617187,2
simulated_campaign_batch_11.json,054,balanced,243.13579559326172,0
simulated_campaign_batch_11.json,054,aggressive,358.0591613769531,4
simulated_campaign_batch_11.json,054,fortress,538.9938194274903,0
simulated_campaign_batch_11.json,054,economy,144.5373222351074,0
simulated_campaign_batch_11.json,054,ambush,64.64568099975585,0
simulated_campaign_batch_11.json,054,saturation,143.9746208190918,0
simulated_campaign_batch_11.json,054,scout,44.813446044921875,0
simulated_campaign_batch_11.json,055,balanced,499.006505203247,5
simulated_campaign_batch_11.json,055,aggressive,336.3633154296875,10
simulated_campaign_batch_11.json,055,fortress,793.4407289505004,5
simulated_campaign_batch_11.json,055,economy,404.1779626846313,5
simulated_campaign_batch_11.json,055,ambush,323.127650642395,5
simulated_campaign_batch_11.json,055,saturation,400.52797489166255,5
simulated_campaign_batch_11.json,055,scout,307.6056945800781,5
simulated_campaign_batch_12.json,056,balanced,369.6246486663818,0
simulated_campaign_batch_12.json,056,aggressive,313.3260827636719,2
simulated_campaign_batch_12.json,056,fortress,666.4207464218139,0
simulated_campaign_batch_12.json,056,economy,270.71347789764405,0
simulated_campaign_batch_12.json,056,ambush,269.61917873382566,1
simulated_campaign_batch_12.json,056,saturation,270.1507764816284,0
simulated_campaign_batch_12.json,056,scout,251.614404296875,1
simulated_campaign_batch_12.json,057,balanced,496.2966414642334,15
simulated_campaign_batch_12.json,057,aggressive,603.3768359374999,15
simulated_campaign_batch_12.json,057,fortress,787.9088009262084,15
simulated_campaign_batch_12.json,057,economy,407.0649967575073,15
simulated_campaign_batch_12.json,057,ambush,333.18595149993894,15
simulated_campaign_batch_12.json,057,saturation,717.9320914840697,15
simulated_campaign_batch_12.json,057,scout,310.86254150390624,15
simulated_campaign_batch_12.json,058,balanced,495.47167205810547,8
simulated_campaign_batch_12.json,058,aggressive,262.1458825683594,8
simulated_campaign_batch_12.json,058,fortress,787.7820841979981,8
simulated_campaign_batch_12.json,058,economy,396.24144515991213,8
simulated_campaign_batch_12.json,058,ambush,316.58661544799804,8
simulated_campaign_batch_12.json,058,saturation,377.34858505249025,8
simulated_campaign_batch_12.json,058,scout,298.355498046875,8
simulated_campaign_batch_12.json,059,balanced,597.90755859375,6
simulated_campaign_batch_12.json,059,aggressive,343.89068237304684,6
simulated_campaign_batch_12.json,059,fortress,898.192305908203,6
simulated_campaign_batch_12.json,059,economy,499.49474609375,6
simulated_campaign_batch_12.json,059,ambush,404.84688354492187,6
simulated_campaign_batch_12.json,059,saturation,502.0032946777344,6
simulated_campaign_batch_12.json,059,scout,388.3277807617187,6
simulated_campaign_batch_12.json,060,balanced,440.3112853240967,15
simulated_campaign_batch_12.json,060,aggressive,322.2780578613281,21
simulated_campaign_batch_12.json,060,fortress,739.8614371871947,15
simulated_campaign_batch_12.json,060,economy,343.4642998886108,15
simulated_campaign_batch_12.json,060,ambush,261.5869178390503,15
simulated_campaign_batch_12.json,060,saturation,365.7912200546265,20
simulated_campaign_batch_12.json,060,scout,241.72865478515624,15
simulated_campaign_batch_13.json,061,balanced,358.1620604705811,3
simulated_campaign_batch_13.json,061,aggressive,383.47579589843747,6
simulated_campaign_batch_13.json,061,fortress,652.7048655319213,3
simulated_campaign_batch_13.json,061,economy,260.5541186141968,3
simulated_campaign_batch_13.json,061,ambush,454.68784008026125,6
simulated_campaign_batch_13.json,061,saturation,259.20110469818115,3
simulated_campaign_batch_13.json,061,scout,431.21014892578125,6
simulated_campaign_batch_13.json,062,balanced,542.2133365631104,4
simulated_campaign_batch_13.json,062,aggressive,358.28395996093747,4
simulated_campaign_batch_13.json,062,fortress,835.7122323989868,4
simulated_campaign_batch_13.json,062,economy,449.4761903762817,4
simulated_campaign_batch_13.json,062,ambush,361.25367679595945,4
simulated_campaign_batch_13.json,062,saturation,441.56352558135984,4
simulated_campaign_batch_13.json,062,scout,352.98871459960935,4
simulated_campaign_batch_13.json,063,balanced,452.7707319641113,5
simulated_campaign_batch_13.json,063,aggressive,268.7515014648437,10
simulated_campaign_batch_13.json,063,fortress,748.9755518341065,5
simulated_campaign_batch_13.json,063,economy,354.11631202697754,5
simulated_campaign_batch_13.json,063,ambush,274.60455268859863,5
simulated_campaign_batch_13.json,063,saturation,338.48577125549315,5
simulated_campaign_batch_13.json,063,scout,255.00081054687496,5
simulated_campaign_batch_13.json,064,balanced,237.47603996276854,4
simulated_campaign_batch_13.json,064,aggressive,330.6993615722656,10
simulated_campaign_batch_13.json,064,fortress,532.7505967330933,4
simulated_campaign_batch_13.json,064,economy,140.78525020599366,4
simulated_campaign_batch_13.json,064,ambush,375.98450756073,8
simulated_campaign_batch_13.json,064,saturation,138.71741085052489,4
simulated_campaign_batch_13.json,064,scout,346.5150317382812,8
simulated_campaign_batch_13.json,065,balanced,-70.4439823150635,0
simulated_campaign_batch_13.json,065,aggressive,372.49054443359375,10
simulated_campaign_batch_13.json,065,fortress,224.39288234710693,0
simulated_campaign_batch_13.json,065,economy,-168.96667499542238,0
simulated_campaign_batch_13.json,065,ambush,563.0818615341186,10
simulated_campaign_batch_13.json,065,saturation,-169.18795795440676,0
simulated_campaign_batch_13.json,065,scout,544.27806640625,10
simulated_campaign_batch_14.json,066,balanced,431.41908462524407,2
