Doctrine,Survival Rate %,Avg Score,Min Score,Max Score,Std
balanced,96.00,368.34,-476.85,671.75,218.18
aggressive,100.00,309.95,174.26,603.38,56.33
fortress,99.00,663.47,-183.39,979.39,218.86
economy,91.00,272.00,-575.04,583.78,219.23
ambush,92.00,258.49,-653.92,569.78,191.44
saturation,92.00,275.99,-575.22,717.93,218.38
scout,92.00,235.46,-673.59,544.28,192.28
